group,test_name,identifier,status,line_number,raw_line
G6,c05_same_taxid_different_resolution_not_merged,G6:5,PASS,5,PASS c05_same_taxid_different_resolution_not_merged
G6,c06_enzyme_not_shared_across_steps,G6:6,PASS,6,PASS c06_enzyme_not_shared_across_steps
G6,c07_supported_task_order_matches_route,G6:7,PASS,7,PASS c07_supported_task_order_matches_route
G6,c08_duplicate_step_uid_deterministic_dedup,G6:8,PASS,8,PASS c08_duplicate_step_uid_deterministic_dedup
G6,c09_observed_over_missing_pair_and_conflict,G6:9,PASS,9,PASS c09_observed_over_missing_pair_and_conflict
G6,c10_fungi_keep_identity_only,G6:10,PASS,10,PASS c10_fungi_keep_identity_only
G6,c11_f1_f15_complete,G6:11,PASS,11,PASS c11_f1_f15_complete
G6,c12_sorting_keys_exact,G6:12,PASS,12,PASS c12_sorting_keys_exact
G6,c13_empty_unknown_duplicate_task_fail_closed,G6:13,PASS,13,PASS c13_empty_unknown_duplicate_task_fail_closed
G6,c14_output_schema_202012,G6:14,PASS,14,PASS c14_output_schema_202012
G6,c15_no_score_hard_filter_llm,G6:15,PASS,15,PASS c15_no_score_hard_filter_llm
G6,g01_fungal_all_observed_fail_closed,G6:16,PASS,16,PASS g01_fungal_all_observed_fail_closed
G6,g02_fungal_all_predicted_fail_closed,G6:17,PASS,17,PASS g02_fungal_all_predicted_fail_closed
G6,g03_fungal_identity_plus_observed_mixed_fail_closed,G6:18,PASS,18,PASS g03_fungal_identity_plus_observed_mixed_fail_closed
G6,g04_fungal_identity_nonnull_value_fail_closed,G6:19,PASS,19,PASS g04_fungal_identity_nonnull_value_fail_closed
G6,g05_fungal_identity_species_resolution_fail_closed,G6:20,PASS,20,PASS g05_fungal_identity_species_resolution_fail_closed
G6,g06_fungal_identity_normal_output_preserved,G6:21,PASS,21,PASS g06_fungal_identity_normal_output_preserved
G6,g07_three_missing_six_permutations_stable,G6:22,PASS,22,PASS g07_three_missing_six_permutations_stable
G6,g08_three_conflicts_six_permutations_stable,G6:23,PASS,23,PASS g08_three_conflicts_six_permutations_stable
G6,n01_cross_step_enzyme_borrow_rejected,G6:24,PASS,24,PASS n01_cross_step_enzyme_borrow_rejected
G6,n02_name_only_merge_rejected,G6:25,PASS,25,PASS n02_name_only_merge_rejected
G6,n03_resolution_merge_rejected,G6:26,PASS,26,PASS n03_resolution_merge_rejected
G6,n04_f15_ranking_rejected,G6:27,PASS,27,PASS n04_f15_ranking_rejected
G6,n05_fungi_upgrade_rejected,G6:28,PASS,28,PASS n05_fungi_upgrade_rejected
G6,n06_observed_conflict_preserved_not_swallowed,G6:29,PASS,29,PASS n06_observed_conflict_preserved_not_swallowed
G6,n07_unknown_task_rejected,G6:30,PASS,30,PASS n07_unknown_task_rejected
G6,r01_same_step_three_uids_all_kept,G6:31,PASS,31,PASS r01_same_step_three_uids_all_kept
G6,r02_duplicate_task_uid_best_rank_only,G6:32,PASS,32,PASS r02_duplicate_task_uid_best_rank_only
G6,r03_trait_source_uids_in_supporting,G6:33,PASS,33,PASS r03_trait_source_uids_in_supporting
G6,r04_route_order_rank_counterexample,G6:34,PASS,34,PASS r04_route_order_rank_counterexample
G6,r05_missing_predicted_order_consistent,G6:35,PASS,35,PASS r05_missing_predicted_order_consistent
G6,r06_observed_missing_predicted_all_permutations,G6:36,PASS,36,PASS r06_observed_missing_predicted_all_permutations
G6,r07_three_distinct_observed_conflict_full_provenance,G6:37,PASS,37,PASS r07_three_distinct_observed_conflict_full_provenance
G6,r08_nonfungi_identity_mixed_gate,G6:38,PASS,38,PASS r08_nonfungi_identity_mixed_gate
G6,r09_supporting_task_membership,G6:39,PASS,39,PASS r09_supporting_task_membership
G6,r10_output_schema_202012,G6:40,PASS,40,PASS r10_output_schema_202012
G6,r11_f5_predicted_fail_closed,G6:41,PASS,41,PASS r11_f5_predicted_fail_closed
G6,t1_three_single_step_routes,G6:42,PASS,42,PASS t1_three_single_step_routes
G7,n1_annotations_and_records_consistent,G7:1,PASS,1,PASS n1_annotations_and_records_consistent
G7,n2_fail_closed_on_bad_asset,G7:2,PASS,2,PASS n2_fail_closed_on_bad_asset
G7,n3_candidates_unchanged,G7:3,PASS,3,PASS n3_candidates_unchanged
G7,n4_empty_candidates_none,G7:4,PASS,4,PASS n4_empty_candidates_none
G7,n5_evidence_action_and_counts,G7:5,PASS,5,PASS n5_evidence_action_and_counts
G7,n6_no_sort_or_rerank_in_output,G7:6,PASS,6,PASS n6_no_sort_or_rerank_in_output
G8,v32_record_rank_1,evidence_hash=f857f86498bc605e70380b52fefbf4486e68b776293e4cf4f307ed18554eecf0,PASS,1,"{""depth"": 1, ""evidence_hash"": ""f857f86498bc605e70380b52fefbf4486e68b776293e4cf4f307ed18554eecf0"", ""model_version"": ""depending_bbd_v3.2"", ""parent_node_depth"": 0, ""parent_node_smiles"": ""c1ccc2[nH]nnc2c1"", ""prediction_rank"": 1, ""prediction_score"": {""is_calibrated_probability"": false, ""raw_score"": 0.002127, ""score_semantics"": ""ns_score_max_per_source_probability_over_3""}, ""provenance"": ""fresh_three_engine_generation_depth_aware"", ""reaction_smiles"": ""c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)[O-]"", ""source_record_id"": ""c1ccc2[nH]nnc2c1|Nc1ccccc1C(=O)[O-]"", ""source_tag"": ""retrieval"", ""source_tool"": ""depending_bbd_v3.2"", ""warnings"": []}"
G8,v32_record_rank_2,evidence_hash=ecab7d256e7394c1873637c13e8d613b873ed14c7dea0330cd97d8ccbcecc7da,PASS,2,"{""depth"": 1, ""evidence_hash"": ""ecab7d256e7394c1873637c13e8d613b873ed14c7dea0330cd97d8ccbcecc7da"", ""model_version"": ""depending_bbd_v3.2"", ""parent_node_depth"": 0, ""parent_node_smiles"": ""c1ccc2[nH]nnc2c1"", ""prediction_rank"": 2, ""prediction_score"": {""is_calibrated_probability"": false, ""raw_score"": 0.002028, ""score_semantics"": ""ns_score_max_per_source_probability_over_3""}, ""provenance"": ""fresh_three_engine_generation_depth_aware"", ""reaction_smiles"": ""c1ccc2[nH]nnc2c1>>c1ccc2ncccc2c1"", ""source_record_id"": ""c1ccc2[nH]nnc2c1|c1ccc2ncccc2c1"", ""source_tag"": ""retrieval"", ""source_tool"": ""depending_bbd_v3.2"", ""warnings"": []}"
G8,v32_record_rank_3,evidence_hash=9c3fe03606eeb3df66beb6b414e1b41582abde49ec11ccbb5b92136393942a99,PASS,3,"{""depth"": 1, ""evidence_hash"": ""9c3fe03606eeb3df66beb6b414e1b41582abde49ec11ccbb5b92136393942a99"", ""model_version"": ""depending_bbd_v3.2"", ""parent_node_depth"": 0, ""parent_node_smiles"": ""c1ccc2[nH]nnc2c1"", ""prediction_rank"": 3, ""prediction_score"": {""is_calibrated_probability"": false, ""raw_score"": 0.001933, ""score_semantics"": ""ns_score_max_per_source_probability_over_3""}, ""provenance"": ""fresh_three_engine_generation_depth_aware"", ""reaction_smiles"": ""c1ccc2[nH]nnc2c1>>C[NH+](C)Cc1c[nH]c2ccccc12"", ""source_record_id"": ""c1ccc2[nH]nnc2c1|C[NH+](C)Cc1c[nH]c2ccccc12"", ""source_tag"": ""retrieval"", ""source_tool"": ""depending_bbd_v3.2"", ""warnings"": []}"
G8,v32_record_rank_4,evidence_hash=0fc9564c37a77ebd9252b242ed085d79d0ce62fefa80c3bb15552b504da414d5,PASS,4,"{""depth"": 1, ""evidence_hash"": ""0fc9564c37a77ebd9252b242ed085d79d0ce62fefa80c3bb15552b504da414d5"", ""model_version"": ""depending_bbd_v3.2"", ""parent_node_depth"": 0, ""parent_node_smiles"": ""c1ccc2[nH]nnc2c1"", ""prediction_rank"": 4, ""prediction_score"": {""is_calibrated_probability"": false, ""raw_score"": 0.001933, ""score_semantics"": ""ns_score_max_per_source_probability_over_3""}, ""provenance"": ""fresh_three_engine_generation_depth_aware"", ""reaction_smiles"": ""c1ccc2[nH]nnc2c1>>C[NH2+]Cc1c[nH]c2ccccc12"", ""source_record_id"": ""c1ccc2[nH]nnc2c1|C[NH2+]Cc1c[nH]c2ccccc12"", ""source_tag"": ""retrieval"", ""source_tool"": ""depending_bbd_v3.2"", ""warnings"": []}"
G8,v32_record_rank_5,evidence_hash=a36b210bf038a7a4533673c1fae73bb9c08c64e88b957b32e03c7043ffb58a23,PASS,5,"{""depth"": 1, ""evidence_hash"": ""a36b210bf038a7a4533673c1fae73bb9c08c64e88b957b32e03c7043ffb58a23"", ""model_version"": ""depending_bbd_v3.2"", ""parent_node_depth"": 0, ""parent_node_smiles"": ""c1ccc2[nH]nnc2c1"", ""prediction_rank"": 5, ""prediction_score"": {""is_calibrated_probability"": false, ""raw_score"": 0.001887, ""score_semantics"": ""ns_score_max_per_source_probability_over_3""}, ""provenance"": ""fresh_three_engine_generation_depth_aware"", ""reaction_smiles"": ""c1ccc2[nH]nnc2c1>>Cc1cc(=O)[nH]c2ccccc12"", ""source_record_id"": ""c1ccc2[nH]nnc2c1|Cc1cc(=O)[nH]c2ccccc12"", ""source_tag"": ""retrieval"", ""source_tool"": ""depending_bbd_v3.2"", ""warnings"": []}"
G8,v32_record_rank_6,evidence_hash=03622d6703463faf45223e3df930989a332901594b916725a8d1ec412e05a2ac,PASS,6,"{""depth"": 1, ""evidence_hash"": ""03622d6703463faf45223e3df930989a332901594b916725a8d1ec412e05a2ac"", ""model_version"": ""depending_bbd_v3.2"", ""parent_node_depth"": 0, ""parent_node_smiles"": ""c1ccc2[nH]nnc2c1"", ""prediction_rank"": 6, ""prediction_score"": {""is_calibrated_probability"": false, ""raw_score"": 0.001887, ""score_semantics"": ""ns_score_max_per_source_probability_over_3""}, ""provenance"": ""fresh_three_engine_generation_depth_aware"", ""reaction_smiles"": ""c1ccc2[nH]nnc2c1>>Nc1ccccc1C(=O)CC=O"", ""source_record_id"": ""c1ccc2[nH]nnc2c1|Nc1ccccc1C(=O)CC=O"", ""source_tag"": ""retrieval"", ""source_tool"": ""depending_bbd_v3.2"", ""warnings"": []}"
G8,v32_record_rank_7,evidence_hash=4bdcb16ef349f9a1e85e09ddb8bcdad892b9d073ecf1f3049682ec8c568ca5e3,PASS,7,"{""depth"": 1, ""evidence_hash"": ""4bdcb16ef349f9a1e85e09ddb8bcdad892b9d073ecf1f3049682ec8c568ca5e3"", ""model_version"": ""depending_bbd_v3.2"", ""parent_node_depth"": 0, ""parent_node_smiles"": ""c1ccc2[nH]nnc2c1"", ""prediction_rank"": 7, ""prediction_score"": {""is_calibrated_probability"": false, ""raw_score"": 0.001887, ""score_semantics"": ""ns_score_max_per_source_probability_over_3""}, ""provenance"": ""fresh_three_engine_generation_depth_aware"", ""reaction_smiles"": ""c1ccc2[nH]nnc2c1>>O=C([O-])Cc1c[nH]c2ccccc12"", ""source_record_id"": ""c1ccc2[nH]nnc2c1|O=C([O-])Cc1c[nH]c2ccccc12"", ""source_tag"": ""retrieval"", ""source_tool"": ""depending_bbd_v3.2"", ""warnings"": []}"
G8,v32_record_rank_8,evidence_hash=660d6e63ee0d5c8a1708f7a66f1ac48721d6692d8eab87af80c298eb545ec4e5,PASS,8,"{""depth"": 1, ""evidence_hash"": ""660d6e63ee0d5c8a1708f7a66f1ac48721d6692d8eab87af80c298eb545ec4e5"", ""model_version"": ""depending_bbd_v3.2"", ""parent_node_depth"": 0, ""parent_node_smiles"": ""c1ccc2[nH]nnc2c1"", ""prediction_rank"": 8, ""prediction_score"": {""is_calibrated_probability"": false, ""raw_score"": 0.001887, ""score_semantics"": ""ns_score_max_per_source_probability_over_3""}, ""provenance"": ""fresh_three_engine_generation_depth_aware"", ""reaction_smiles"": ""c1ccc2[nH]nnc2c1>>Oc1ccc2c(n1)C=CC(O)C2O"", ""source_record_id"": ""c1ccc2[nH]nnc2c1|Oc1ccc2c(n1)C=CC(O)C2O"", ""source_tag"": ""retrieval"", ""source_tool"": ""depending_bbd_v3.2"", ""warnings"": []}"
G8,v32_record_rank_9,evidence_hash=494983ee1dc8686014a43df47e488f569be836f9f268878a4b23f46361fbcf48,PASS,9,"{""depth"": 1, ""evidence_hash"": ""494983ee1dc8686014a43df47e488f569be836f9f268878a4b23f46361fbcf48"", ""model_version"": ""depending_bbd_v3.2"", ""parent_node_depth"": 0, ""parent_node_smiles"": ""c1ccc2[nH]nnc2c1"", ""prediction_rank"": 9, ""prediction_score"": {""is_calibrated_probability"": false, ""raw_score"": 0.001887, ""score_semantics"": ""ns_score_max_per_source_probability_over_3""}, ""provenance"": ""fresh_three_engine_generation_depth_aware"", ""reaction_smiles"": ""c1ccc2[nH]nnc2c1>>Oc1ccc2cccc(O)c2n1"", ""source_record_id"": ""c1ccc2[nH]nnc2c1|Oc1ccc2cccc(O)c2n1"", ""source_tag"": ""retrieval"", ""source_tool"": ""depending_bbd_v3.2"", ""warnings"": []}"
G8,v32_record_rank_10,evidence_hash=edf85610a8d3718a32dd8169d465086394408184fcf027ddbde01aa703ef27d4,PASS,10,"{""depth"": 1, ""evidence_hash"": ""edf85610a8d3718a32dd8169d465086394408184fcf027ddbde01aa703ef27d4"", ""model_version"": ""depending_bbd_v3.2"", ""parent_node_depth"": 0, ""parent_node_smiles"": ""c1ccc2[nH]nnc2c1"", ""prediction_rank"": 10, ""prediction_score"": {""is_calibrated_probability"": false, ""raw_score"": 0.001887, ""score_semantics"": ""ns_score_max_per_source_probability_over_3""}, ""provenance"": ""fresh_three_engine_generation_depth_aware"", ""reaction_smiles"": ""c1ccc2[nH]nnc2c1>>Oc1cnc2ccccc2c1O"", ""source_record_id"": ""c1ccc2[nH]nnc2c1|Oc1cnc2ccccc2c1O"", ""source_tag"": ""retrieval"", ""source_tool"": ""depending_bbd_v3.2"", ""warnings"": []}"
