case_id,input_row_number,parent_smiles,status,classification,rank,product_smiles,canonical_product_identity,lane,source_evidence_eligibilities,source_snapshot_lanes,conditional_eligible,warnings,failures,blocker_code,blocker_reason,error_type,raw_candidate_id,raw_donor_reaction_id,raw_json_path
SPD-BBD2-PARENT-c1383,74,c1cc2ccccc2s1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_073_SPD-BBD2-PARENT-c1383.json
SPD-BBD2-PARENT-c1391,75,[O-]C(=O)\C=C\c1ccccc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_074_SPD-BBD2-PARENT-c1391.json
SPD-BBD2-PARENT-c1412,76,CC(C([O-])=O)c1cccc(c1)C(=O)c1ccccc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_075_SPD-BBD2-PARENT-c1412.json
SPD-BBD2-PARENT-c1441,77,CCc1cccc(CC)c1N(COC)C(=O)CCl,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_076_SPD-BBD2-PARENT-c1441.json
SPD-BBD2-PARENT-c1457,78,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_077_SPD-BBD2-PARENT-c1457.json
SPD-BBD2-PARENT-c1481,79,COP(N)(=O)SC,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_078_SPD-BBD2-PARENT-c1481.json
SPD-BBD2-PARENT-c1524,80,CN1c2ccc(Cl)cc2C(=NCC1=O)c1ccccc1,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_079_SPD-BBD2-PARENT-c1524.json
SPD-BBD2-PARENT-c1531,81,C1=Cc2cccc3cccc1c23,blocked,typed_blocker_or_no_match,,,,,[],[],False,[],"[""TRANSFORM_EXTRACTION_FAILED""]",TRANSFORM_EXTRACTION_FAILED,donor reaction real_real_audit_case_012 could not be processed,,,,RAW_OUTPUTS/bbd83_direct/case_080_SPD-BBD2-PARENT-c1531.json
SPD-BBD2-PARENT-c1549,82,OC[C@H]1OCC(=O)[C@@H](O)[C@@H]1O,completed_with_warnings,ranked_prediction,1,O=CC1OCC(=O)C(O)C1O,O=CC1OCC(=O)C(O)C1O,strict,"[""conditional_eligible""]","[""production""]",True,"[""implicit_h_e_policy""]","[""TRANSFORM_EXTRACTION_FAILED""]",,,,cand_3d59591cffee,real_real_audit_case_001,RAW_OUTPUTS/bbd83_direct/case_081_SPD-BBD2-PARENT-c1549.json
SPD-BBD2-PARENT-c1549,82,OC[C@H]1OCC(=O)[C@@H](O)[C@@H]1O,completed_with_warnings,ranked_prediction,2,O=C1COC(CO)C(=O)C1O,O=C1COC(CO)C(=O)C1O,strict,"[""conditional_eligible""]","[""production""]",True,"[""implicit_h_e_policy""]","[""TRANSFORM_EXTRACTION_FAILED""]",,,,cand_71b47ef49643,real_real_audit_case_002,RAW_OUTPUTS/bbd83_direct/case_081_SPD-BBD2-PARENT-c1549.json
SPD-BBD2-PARENT-c1549,82,OC[C@H]1OCC(=O)[C@@H](O)[C@@H]1O,completed_with_warnings,ranked_prediction,3,O=C1COC(CO)C(O)C1=O,O=C1COC(CO)C(O)C1=O,strict,"[""conditional_eligible""]","[""production""]",True,"[""implicit_h_e_policy""]","[""TRANSFORM_EXTRACTION_FAILED""]",,,,cand_9fe8bc64436a,real_real_audit_case_002,RAW_OUTPUTS/bbd83_direct/case_081_SPD-BBD2-PARENT-c1549.json
SPD-BBD2-PARENT-c1586,83,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,completed_with_warnings,ranked_prediction,1,CC(C)NCC(=O)COc1ccc(CC(N)=O)cc1,CC(C)NCC(=O)COc1ccc(CC(N)=O)cc1,strict,"[""conditional_eligible""]","[""production""]",True,"[""implicit_h_e_policy""]","[""TRANSFORM_EXTRACTION_FAILED""]",,,,cand_6397de318d03,real_real_audit_case_002,RAW_OUTPUTS/bbd83_direct/case_082_SPD-BBD2-PARENT-c1586.json
